osm_type,osm_id,name,operator,lat,lng
node,2733736931,Equinix TR1,Equinix,43.6445288,-79.384389
node,4922135764,Pathway Communications,,43.8573558,-79.3565433
node,7259975451,,,49.2743926,-122.9123118
node,7683756060,Centre de données d'Hydro-Québec,Hydro-Québec,45.8839047,-72.5278877
node,7852403847,,,49.2647978,-123.1037628
node,8712918739,Compass Datacenters,,45.4235925,-73.9138168
node,8973042667,Data Center Hawk - Hyperscale Data Center,GI Partners - Stream Data Centers,45.4126186,-74.0505058
node,9664758614,Rack & Data,,43.4230519,-80.4727717
node,10151456045,Cologix,Cologix,45.879305,-72.5464285
node,11196801643,Colo RIve-Sud,,45.5229556,-73.520165
node,11731636038,,,44.6549806,-63.5942525
node,12303164157,Equinix VA1,Equinix,49.2605688,-123.0112395
node,12634611897,VAN4,Cologix,49.2835504,-123.1087112
node,12699734832,,,49.2845088,-123.1116894
node,13252574597,Hive Digital Technologies,,45.6368637,-74.2879932
node,13604170383,VAN2,Cologix,49.2869623,-123.1194715
node,13604170384,VAN1,Cologix,49.284456,-123.1117831
node,13604170385,VAN5,Cologix,49.2844171,-123.1118452
node,13604194266,,Carrier Connect Data Solutions,49.2876241,-123.1151108
way,28596260,Telus,,43.7050053,-79.3605316
way,33186030,11:11 Systems,,43.5982484,-79.7501312
way,33710942,11:11 Systems,,43.6033154,-79.7353817
way,55462937,Edgeconnex Toronto,EdgeConneX,43.809286,-79.342588
way,56863431,Digital Realty Toronto YYZ10,,43.8383158,-79.3234741
way,58361249,Urbacon Data Centre,,43.7407012,-79.6209042
way,59244466,Compass,Compass,43.6016221,-79.5289687
way,67138292,Rogers Data Center,,43.8442907,-79.3648591
way,67138303,Equinix Markham TR5,Equinix,43.8468489,-79.3331774
way,74658241,Digital Realty Toronto YYZ11,Digital Realty,43.7789487,-79.5406428
way,95770024,Rogers Calgary Data Centre 2,,51.0438704,-114.0921602
way,103363234,Marysville Place,,45.9782426,-66.58879
way,129730212,Cologix TOR4,,43.850741,-79.3426534
way,154377787,VAN3,Cologix,49.2594323,-123.0296665
way,168520216,Equinix KA1,Equinix,50.675557,-120.3798763
way,168770080,Colosseum Online Inc.,,43.7794734,-79.4895313
way,208650151,RBC Guelph Data Centre,Royal Bank of Canada,43.4968742,-80.2087034
way,222247139,,Vidéotron,45.5286229,-73.6106463
way,288232465,Ascent TOR1,"Ascent, LLC",43.4274957,-80.3719942
way,290916394,CGI,,43.601323,-79.7462904
way,292128594,Telus Calgary Internet Data Centre,,51.0439518,-114.0959704
way,302107922,Equinix TR2,Equinix,43.6509284,-79.3617665
way,322816286,Cyxtera Toronto YYZ1,Cyxtera,43.5945069,-79.7531282
way,365733781,Equinix OT1,Equinix,45.5746703,-75.3984132
way,398917168,Ministry of Government Services Data Centre,The Government of Ontario,43.4840991,-80.1941522
way,437396883,,,43.6048805,-79.7401355
way,440105283,Maxxam Analytics International Inc.,,43.6056799,-79.7412159
way,489387401,Bell Aliant PEI,Bell Canada,46.2510236,-63.1436744
way,515596349,,,45.497226,-73.5634031
way,584390127,Vantage Data Centers Montreal I,Vantage Data Centers,45.486669,-73.7561309
way,627266016,Telus,,49.1432073,-102.9944945
way,661048287,,,43.8333515,-79.3205385
way,661065569,Rogers,,43.8268835,-79.343188
way,661065639,Nüday Networks,,43.8269495,-79.334479
way,661951723,Equinix TR6,Equinix,43.7438405,-79.7166565
way,662392354,Equinix TR7,Equinix,43.744941,-79.7178255
way,790870522,,Amazon,45.6236915,-73.3813012
way,813475618,Telus Kamloops Data Centre,,50.6771377,-120.3774279
way,828606781,SaskTel,,50.2876735,-107.8258431
way,828606828,SaskTel,,50.2847488,-107.8023688
way,843321913,,,44.3373859,-79.6704699
way,848201800,Vantage Montreal II,Vantage Data Centers,45.4746365,-73.8000691
way,869252064,Equinix IBX (WI1),Equinix,49.8250224,-97.1780148
way,974334074,Cyxtera Toronto YYZ2,Cyxtera,43.838268,-79.3167419
way,1006315992,,Bell Canada,45.5301882,-73.6068363
way,1092751673,Hut 8,Hut 8,50.0929616,-110.7384773
way,1171439340,QScale,,46.676157,-71.3250627
way,1233556146,,Amazon,45.6229899,-73.3824601
way,1420458489,Cologix,Cologix,45.4807858,-73.7697918
relation,1701662,"OVHcloud, Centre de données de Beauharnois",,45.3084542,-73.8938795
relation,19187352,Vantage Data Centers,Vantage Data Centers,46.7951442,-71.3052093
